x,ud1,ud2
0.0,0.18226214096520674,0.9846823335786442
0.015625,0.1931911805013394,0.9221506791639571
0.03125,0.28103245353106554,0.9357912108985144
0.046875,0.3317890178375435,0.9136110772517224
0.0625,0.3349449527199993,0.8455939828737274
0.078125,0.35977727696594747,0.8003014628607767
0.09375,0.3853657078855799,0.7574679921191919
0.109375,0.42935359751383684,0.7347833337706544
0.125,0.4644409326337563,0.7056575304787409
0.140625,0.49445524108245226,0.6741196182214841
0.15625,0.5290771099499288,0.6499249922685347
0.171875,0.5237674792189241,0.58940062675179
0.1875,0.5309500597572804,0.5443131634887151
0.203125,0.5906452282383993,0.5541826145861638
0.21875,0.5890170409301282,0.5070021919919031
0.234375,0.5601501638836078,0.43639816525786695
0.25,0.6088736563045677,0.44563874116971874
0.265625,0.5088672866710451,0.3118959793647839
0.28125,0.56937671132157,0.3396813732297814
0.296875,0.5533122925677556,0.29551160841853147
0.3125,0.5627941347363457,0.27988389997271096
0.328125,0.5023022511172822,0.19864577208018389
0.34375,0.48804570467327035,0.16609226615468375
0.359375,0.49151809431697135,0.1539822848324204
0.375,0.4873157126776537,0.13709523790622172
0.390625,0.4215540331121066,0.062135049803915925
0.40625,0.38769391242984647,0.02086722636809315
0.421875,0.3650985760996656,-0.007315389143675781
0.4375,0.3655227733420559,-0.011143489635133223
0.453125,0.28248744872966913,-0.09578583441977907
0.46875,0.18925487936663202,-0.18943506647907898
0.484375,0.2569349863431262,-0.12393895328622867
0.5,0.12821009175634956,-0.2514353034606391
0.515625,0.19477491301904248,-0.18635336240468287
0.53125,0.07781382795851728,-0.30157576068349307
0.546875,0.10278339841771901,-0.2763315104478234
0.5625,0.047431389859864406,-0.32912561759390274
0.578125,-0.008049566817186767,-0.3806551006021842
0.59375,-0.02839818321228672,-0.3958723080186833
0.609375,-0.08235057410109474,-0.44214964387505873
0.625,-0.12692988898162702,-0.4768770468665581
0.640625,-0.13856828811194957,-0.4765794239931309
0.65625,-0.19382934089649914,-0.5164067268024233
0.671875,-0.27940623039555057,-0.5830467093103926
0.6875,-0.2913532487960364,-0.5739719592633191
0.703125,-0.2802779888275924,-0.5388790382980733
0.71875,-0.3307929510073942,-0.5609875533506938
0.734375,-0.34110921366826014,-0.5400085553514086
0.75,-0.377147437278185,-0.5408276725401052
0.765625,-0.47966697319681206,-0.6035832759985282
0.78125,-0.5128949982149928,-0.594608924060612
0.796875,-0.5023315357520957,-0.5390603662740161
0.8125,-0.5696532765870996,-0.5568159261224765
0.828125,-0.6008804314452226,-0.5357291352632135
0.84375,-0.5888520733537663,-0.4688635693259779
0.859375,-0.6126642066862071,-0.43425197369758184
0.875,-0.7040175723817035,-0.4632959248502897
0.890625,-0.7337677650342612,-0.4290552274995613
0.90625,-0.7675351990561582,-0.3964085790556086
0.921875,-0.8077526640085201,-0.36804710385305794
0.9375,-0.895069178248883,-0.3843179977684968
0.953125,-0.8341990807128346,-0.2532658286404017
0.96875,-0.9059735760691724,-0.25177081091586934
0.984375,-0.9875927194387383,-0.2592577043175168
1.0,-1.0,-0.19814323585543409
